ID,Claim Date,CarBrand,VehAge,DrivAge,Location,Claim Amt2,Age Criteria 
R2010401,05/05/23,KIA,1,60,RYIADH,1286,60+ Aged
D2010603,17/01/23,HYUNDAI,8,41,JEDDAH,1728,34 to 44
F2010921,16/10/23,BMW,1,50,JEDDAH,1759,45 to 59
H2010923,06/07/23,BMW,1,50,JEDDAH,1377,45 to 59
B2010942,20/08/23,HYUNDAI,4,24,DAMMAM,1831,23 to 27 
C2010945,24/11/23,HYUNDAI,4,24,DAMMAM,1679,23 to 27 
R2011041,28/05/23,NISSAN,10,35,JEDDAH,1876,34 to 44
D2011043,03/11/23,NISSAN,10,35,JEDDAH,1671,34 to 44
F2011252,18/04/23,TOYOTA,1,48,JEDDAH,1844,45 to 59
H2011254,14/10/23,TOYOTA,1,48,JEDDAH,1490,45 to 59
B2011450,01/10/23,KIA,1,68,JEDDAH,1735,60+ Aged
C2011452,05/04/23,KIA,1,68,JEDDAH,1888,60+ Aged
R2011482,07/10/23,BMW,1,35,JEDDAH,1832,34 to 44
D2011484,24/09/23,BMW,1,35,JEDDAH,1772,34 to 44
F2011485,12/04/23,BMW,1,35,JEDDAH,1249,34 to 44
H2011487,02/12/23,BMW,0,35,JEDDAH,1331,34 to 44
B2011488,07/12/23,BMW,1,35,JEDDAH,1551,34 to 44
C2011563,25/01/23,HYUNDAI,10,27,JEDDAH,1701,23 to 27 
R2011565,13/09/23,HYUNDAI,10,27,JEDDAH,1664,23 to 27 
D2011566,22/04/23,HYUNDAI,10,27,JEDDAH,1680,23 to 27 
F2011569,04/11/23,HYUNDAI,3,27,JEDDAH,1357,23 to 27 
H2011741,21/03/23,KIA,7,24,RYIADH,1599,23 to 27 
B2011743,08/09/23,KIA,7,24,RYIADH,1839,23 to 27 
C2011744,27/01/23,KIA,7,24,RYIADH,1446,23 to 27 
R2012006,07/08/23,KIA,1,51,JEDDAH,1816,45 to 59
D2012009,10/07/23,KIA,1,51,JEDDAH,1203,45 to 59
F2012011,17/05/23,KIA,1,51,JEDDAH,1696,45 to 59
H2012282,11/05/23,NISSAN,1,28,JEDDAH,1377,28 to 33
B2012328,02/10/23,BMW,1,55,JEDDAH,1749,45 to 59
C2012330,16/09/23,BMW,0,55,RYIADH,1555,45 to 59
R2012331,18/03/23,BMW,1,55,JEDDAH,1600,45 to 59
D2012332,13/01/23,BMW,0,55,RYIADH,1770,45 to 59
F2012333,03/11/23,BMW,1,55,JEDDAH,1652,45 to 59
H2012416,13/06/23,BMW,2,31,JEDDAH,1384,28 to 33
B2012418,12/09/23,BMW,2,31,JEDDAH,1308,28 to 33
C2012472,17/01/23,BMW,4,22,RYIADH,1626,18 to 22
R2012474,17/12/23,BMW,4,22,RYIADH,1435,18 to 22
D2012560,05/05/23,BMW,1,65,JEDDAH,1801,60+ Aged
F2012777,10/04/23,KIA,4,45,JEDDAH,1312,45 to 59
H2012779,05/09/23,KIA,4,45,JEDDAH,1742,45 to 59
B2012935,14/09/23,HYUNDAI,7,29,RYIADH,1410,28 to 33
C2012937,09/05/23,HYUNDAI,7,29,RYIADH,1302,28 to 33
R2012978,12/12/23,HYUNDAI,10,27,RYIADH,1860,23 to 27 
D2012982,06/06/23,HYUNDAI,10,27,RYIADH,1278,23 to 27 
F2013225,11/10/23,TOYOTA,8,38,JEDDAH,1712,34 to 44
H2013226,27/11/23,TOYOTA,8,38,JEDDAH,1873,34 to 44
B2013292,13/11/23,HYUNDAI,2,49,JEDDAH,1287,45 to 59
C2013294,04/01/23,HYUNDAI,2,49,JEDDAH,3030,45 to 59
R2013573,18/08/23,TOYOTA,1,68,JEDDAH,3345,60+ Aged
D2013575,03/05/23,TOYOTA,1,68,JEDDAH,2590,60+ Aged
F2014365,14/05/23,HYUNDAI,2,26,JEDDAH,1742,23 to 27 
H2014367,21/03/23,HYUNDAI,2,26,JEDDAH,3030,23 to 27 
B2015048,09/01/23,KIA,1,61,JEDDAH,3345,60+ Aged
C2015050,30/10/23,KIA,1,61,JEDDAH,2590,60+ Aged
R2015175,10/01/23,KIA,1,26,RYIADH,1274,23 to 27 
D2015178,22/02/23,KIA,0,26,RYIADH,2470.333333,23 to 27 
F2015179,08/09/23,KIA,1,26,RYIADH,2830,23 to 27 
H2015180,10/02/23,KIA,0,26,RYIADH,2836,23 to 27 
B2015941,29/11/23,NISSAN,1,36,JEDDAH,2569,34 to 44
C2015944,25/02/23,NISSAN,1,36,JEDDAH,2808,34 to 44
R2016085,01/04/23,TOYOTA,1,66,JEDDAH,2587,60+ Aged
D2016312,17/11/23,HYUNDAI,1,59,JEDDAH,2417,45 to 59
F2016315,30/06/23,HYUNDAI,1,59,JEDDAH,2652,45 to 59
H2016320,27/11/23,HYUNDAI,0,59,JEDDAH,2740,45 to 59
B2016321,11/10/23,HYUNDAI,0,59,JEDDAH,2691,45 to 59
C2016472,05/06/23,HYUNDAI,1,45,JEDDAH,2674,45 to 59
R2016524,14/04/23,BMW,4,37,JEDDAH,1022.75,34 to 44
D2016526,27/11/23,BMW,4,37,JEDDAH,793.25,34 to 44
F2016554,19/10/23,BMW,4,24,JEDDAH,491,23 to 27 
H2016556,03/08/23,BMW,4,24,JEDDAH,671.25,23 to 27 
B2016851,21/10/23,KIA,6,52,RYIADH,673,45 to 59
C2016853,20/08/23,KIA,6,52,RYIADH,1061,45 to 59
R2016866,14/11/23,NISSAN,1,26,JEDDAH,1050,23 to 27 
D2016868,15/02/23,NISSAN,0,26,RYIADH,714.375,23 to 27 
F2016869,29/11/23,NISSAN,0,26,RYIADH,893.25,23 to 27 
H2016871,30/07/23,NISSAN,0,26,RYIADH,1041.25,23 to 27 
B2016872,26/09/23,NISSAN,0,26,RYIADH,929.5,23 to 27 
C2017405,24/12/23,KIA,1,45,JEDDAH,921.25,45 to 59
R2017407,12/03/23,KIA,1,45,JEDDAH,1012.375,45 to 59
D2017503,21/09/23,BMW,10,32,RYIADH,938,28 to 33
F2017505,20/02/23,BMW,10,32,RYIADH,670.5,28 to 33
H2017677,16/03/23,KIA,1,62,JEDDAH,621.75,60+ Aged
B2017679,18/05/23,KIA,1,62,JEDDAH,741.5,60+ Aged
C2017787,26/06/23,TOYOTA,1,54,JEDDAH,568,45 to 59
R2017789,11/08/23,TOYOTA,1,54,JEDDAH,892.25,45 to 59
D2018245,06/11/23,HYUNDAI,10,32,RYIADH,883.5,28 to 33
F2018247,09/04/23,HYUNDAI,6,32,JEDDAH,698.5,28 to 33
H2018249,29/05/23,HYUNDAI,6,32,JEDDAH,696.5,28 to 33
B2018282,07/08/23,KIA,10,25,RYIADH,601.75,23 to 27 
C2018284,07/05/23,KIA,10,25,RYIADH,657.375,23 to 27 
R2018926,04/09/23,HYUNDAI,2,34,JEDDAH,1503.5,34 to 44
D2018928,14/07/23,HYUNDAI,2,34,JEDDAH,1080.25,34 to 44
F2018996,22/01/23,HYUNDAI,1,57,JEDDAH,1423.5,45 to 59
H2019158,03/09/23,KIA,1,74,JEDDAH,1304,60+ Aged
B2019162,10/05/23,KIA,0,74,JEDDAH,1255.75,60+ Aged
C2019164,11/11/23,KIA,0,74,JEDDAH,908.75,60+ Aged
R2019165,28/02/23,KIA,0,74,JEDDAH,1021,60+ Aged
D2019779,09/04/23,NISSAN,1,39,JEDDAH,999.25,34 to 44
F2019781,02/09/23,NISSAN,1,39,JEDDAH,1026,34 to 44
H2019808,01/02/23,TOYOTA,2,27,JEDDAH,1026.25,23 to 27 
B2019810,16/09/23,TOYOTA,1,27,JEDDAH,1290,23 to 27 
C2019811,05/07/23,TOYOTA,2,27,JEDDAH,775,23 to 27 
R2019813,24/12/23,TOYOTA,1,27,JEDDAH,788.5,23 to 27 
D2019816,24/05/23,TOYOTA,2,27,JEDDAH,966,23 to 27 
F2019817,19/11/23,TOYOTA,2,27,JEDDAH,864,23 to 27 
H2019818,20/01/23,TOYOTA,1,27,JEDDAH,857,23 to 27 
B2019949,06/07/23,HYUNDAI,4,33,JEDDAH,773,28 to 33
C2020340,31/12/23,NISSAN,2,38,JEDDAH,1138,34 to 44
R2020374,27/12/23,TOYOTA,1,31,JEDDAH,1156.5,28 to 33
D2020376,24/04/23,TOYOTA,1,31,JEDDAH,791,28 to 33
F2020424,26/02/23,KIA,1,37,JEDDAH,1097.5,34 to 44
H2020426,21/08/23,KIA,1,37,JEDDAH,1097.5,34 to 44
B2020455,04/09/23,NISSAN,6,28,DAMMAM,1279.5,28 to 33
C2020457,09/12/23,NISSAN,6,28,DAMMAM,798.5,28 to 33
R2020498,19/03/23,HYUNDAI,1,31,RYIADH,774.5,28 to 33
D2020500,27/04/23,HYUNDAI,0,31,RYIADH,765.5,28 to 33
F2020502,06/02/23,HYUNDAI,1,31,RYIADH,768,28 to 33
H2020503,11/04/23,HYUNDAI,0,31,RYIADH,793,28 to 33
B2020504,13/02/23,HYUNDAI,1,31,RYIADH,777.5,28 to 33
C2020505,18/03/23,HYUNDAI,1,31,RYIADH,963.5,28 to 33
R2020506,07/10/23,HYUNDAI,0,31,RYIADH,832,28 to 33
D2020507,07/11/23,HYUNDAI,0,31,RYIADH,828,28 to 33
F2020916,15/11/23,TOYOTA,5,34,RYIADH,738,34 to 44
H2020918,16/02/23,TOYOTA,5,34,RYIADH,756.5,34 to 44
B2020948,04/02/23,KIA,1,38,JEDDAH,741,34 to 44
C2020950,11/03/23,KIA,1,38,JEDDAH,1166.5,34 to 44
R2021128,10/05/23,BMW,6,34,JEDDAH,808.5,34 to 44
D2021130,17/12/23,BMW,6,34,JEDDAH,1502,34 to 44
F2021131,18/10/23,BMW,6,34,JEDDAH,983.5,34 to 44
H2021424,29/03/23,KIA,1,53,JEDDAH,984.5,45 to 59
B2021426,21/11/23,KIA,1,53,JEDDAH,961,45 to 59
C2021686,26/11/23,BMW,6,32,JEDDAH,962,28 to 33
R2021688,07/10/23,BMW,6,32,JEDDAH,1531.5,28 to 33
D2021689,02/02/23,BMW,6,32,JEDDAH,1278.5,28 to 33
F2021968,04/08/23,TOYOTA,1,23,JEDDAH,1294.5,23 to 27 
H2021971,15/01/23,TOYOTA,1,23,JEDDAH,1276.5,23 to 27 
B2021972,08/05/23,TOYOTA,1,23,JEDDAH,1267.5,23 to 27 
C2022212,19/01/23,BMW,10,55,JEDDAH,1092,45 to 59
R2022214,24/03/23,BMW,10,55,JEDDAH,797.5,45 to 59
D2022410,18/07/23,TOYOTA,7,22,RYIADH,826,18 to 22
F2022488,18/04/23,HYUNDAI,8,41,JEDDAH,814,34 to 44
H2022944,10/03/23,NISSAN,3,29,RYIADH,959.5,28 to 33
B2023287,31/07/23,BMW,10,27,RYIADH,975.5,23 to 27 
C2023288,26/03/23,BMW,15,27,RYIADH,851,23 to 27 
R2023290,11/09/23,BMW,10,27,RYIADH,851,23 to 27 
D2023480,17/03/23,TOYOTA,0,26,JEDDAH,876,23 to 27 
F2023483,25/01/23,TOYOTA,0,26,JEDDAH,884,23 to 27 
H2023615,05/12/23,HYUNDAI,4,25,RYIADH,803,23 to 27 
B2023853,26/04/23,HYUNDAI,8,41,JEDDAH,802.5,34 to 44
C2024257,24/12/23,HYUNDAI,0,38,JEDDAH,1152.5,34 to 44
R2024477,01/08/23,TOYOTA,0,64,JEDDAH,788.5,60+ Aged
D2024478,22/04/23,TOYOTA,0,64,JEDDAH,1101,60+ Aged
F2024590,02/12/23,BMW,0,42,JEDDAH,1302,34 to 44
H2024591,07/02/23,BMW,0,42,JEDDAH,831,34 to 44
B2024593,13/05/23,BMW,0,42,JEDDAH,796.5,34 to 44
C2024849,24/09/23,TOYOTA,1,51,JEDDAH,772.5,45 to 59
R2024955,25/07/23,KIA,4,40,JEDDAH,1160,34 to 44
D2024957,29/09/23,KIA,4,40,JEDDAH,1166.5,34 to 44
F2025263,21/04/23,NISSAN,0,45,JEDDAH,1142,45 to 59
H2025265,14/04/23,NISSAN,0,45,JEDDAH,875,45 to 59
B2025266,23/02/23,NISSAN,0,45,JEDDAH,858.5,45 to 59
C2025570,18/02/23,NISSAN,0,28,JEDDAH,756,28 to 33
R2025935,21/02/23,KIA,0,55,JEDDAH,1112.5,45 to 59
D2026131,14/06/23,HYUNDAI,7,28,RYIADH,1112,28 to 33
F2026161,11/10/23,KIA,0,53,JEDDAH,791,45 to 59
H2026175,09/08/23,TOYOTA,0,38,JEDDAH,950.5,34 to 44
B2026509,13/05/23,TOYOTA,1,33,JEDDAH,1086,28 to 33
C2026510,23/08/23,TOYOTA,1,33,JEDDAH,1499.5,28 to 33
R2026698,21/07/23,TOYOTA,0,37,JEDDAH,1525.5,34 to 44
D2026699,06/03/23,TOYOTA,0,37,JEDDAH,959,34 to 44
F2026957,18/09/23,HYUNDAI,0,45,JEDDAH,973,45 to 59
H2027123,17/11/23,KIA,0,35,JEDDAH,974,34 to 44
B2027349,28/11/23,BMW,0,35,JEDDAH,779.5,34 to 44
C2027351,23/12/23,BMW,0,35,JEDDAH,792.5,34 to 44
R2027806,23/11/23,KIA,1,27,JEDDAH,768,23 to 27 
D2028064,09/02/23,KIA,0,45,JEDDAH,721,45 to 59
F2028065,05/07/23,KIA,0,45,JEDDAH,780,45 to 59
H2028592,12/07/23,BMW,0,47,JEDDAH,787,45 to 59
B2028593,18/07/23,BMW,0,47,JEDDAH,795,45 to 59
C2028595,13/03/23,BMW,0,47,JEDDAH,1306.5,45 to 59
R2028691,25/08/23,HYUNDAI,0,43,JEDDAH,1303,34 to 44
D2028693,30/10/23,HYUNDAI,0,43,JEDDAH,800.5,34 to 44
F2028875,20/06/23,BMW,0,68,JEDDAH,885.5,60+ Aged
H2028956,17/07/23,BMW,0,47,JEDDAH,888.5,45 to 59
B2028957,23/12/23,BMW,0,47,JEDDAH,768.5,45 to 59
C2029252,29/10/23,NISSAN,0,55,JEDDAH,982.5,45 to 59
R2029254,09/08/23,NISSAN,0,55,JEDDAH,781.5,45 to 59
D2029424,16/01/23,BMW,0,29,JEDDAH,810.5,28 to 33
F2029426,18/06/23,BMW,0,29,JEDDAH,1137.5,28 to 33
H2029795,27/01/23,TOYOTA,6,24,RYIADH,808.5,23 to 27 
B2029796,23/06/23,TOYOTA,6,24,RYIADH,813,23 to 27 
C2030829,04/03/23,TOYOTA,2,52,JEDDAH,1169,45 to 59
R2030831,04/07/23,TOYOTA,2,52,JEDDAH,1147.5,45 to 59
D2035194,10/01/23,KIA,0,29,JEDDAH,1150.5,28 to 33
F2035195,22/11/23,KIA,0,29,JEDDAH,795,28 to 33
H2035197,31/05/23,KIA,0,29,JEDDAH,942,28 to 33
B2035816,07/02/23,BMW,6,27,JEDDAH,741,23 to 27 
C2036901,26/12/23,NISSAN,6,48,JEDDAH,1128,45 to 59
R2037059,15/09/23,HYUNDAI,3,60,JEDDAH,1125.5,60+ Aged
D2037324,08/01/23,BMW,0,61,JEDDAH,1118.5,60+ Aged
F2037595,10/01/23,KIA,9,42,JEDDAH,757.5,34 to 44
H2038398,30/12/23,BMW,0,73,JEDDAH,773.5,60+ Aged
B2038399,10/03/23,BMW,0,73,JEDDAH,1152.5,60+ Aged
C2038416,03/02/23,KIA,15,21,RYIADH,1141.5,18 to 22
R2038534,23/09/23,BMW,0,30,JEDDAH,1056.5,28 to 33
D2038536,15/10/23,BMW,0,30,JEDDAH,792,28 to 33
F2038548,30/06/23,HYUNDAI,0,52,JEDDAH,774,45 to 59
H2038561,21/10/23,BMW,0,59,JEDDAH,767.5,45 to 59
B2038562,15/05/23,BMW,0,59,JEDDAH,988,45 to 59
C2038564,07/12/23,BMW,0,59,JEDDAH,816,45 to 59
R2038900,07/03/23,KIA,0,53,JEDDAH,801.5,45 to 59
D2039023,24/02/23,NISSAN,6,29,RYIADH,810.5,28 to 33
F2039175,17/05/23,BMW,0,71,JEDDAH,804,60+ Aged
H2039370,14/04/23,TOYOTA,0,37,JEDDAH,781,34 to 44
B2039372,07/04/23,TOYOTA,0,37,JEDDAH,954.5,34 to 44
C2039922,09/05/23,HYUNDAI,0,44,JEDDAH,764.5,34 to 44
R2039923,17/12/23,HYUNDAI,0,44,JEDDAH,765,34 to 44
D2039929,15/01/23,HYUNDAI,2,37,RYIADH,745,34 to 44
F2039969,27/07/23,BMW,0,53,JEDDAH,801,45 to 59
H2039971,06/07/23,BMW,0,53,JEDDAH,814,45 to 59
B2040068,21/01/23,TOYOTA,0,60,JEDDAH,782,60+ Aged
C2040194,22/09/23,KIA,0,43,JEDDAH,1027.5,34 to 44
R2040357,22/04/23,BMW,0,26,JEDDAH,1035,23 to 27 
D2040358,19/08/23,BMW,0,26,JEDDAH,1106,23 to 27 
F2040527,04/04/23,KIA,0,33,JEDDAH,1158,28 to 33
H2040528,16/06/23,KIA,0,33,JEDDAH,735,28 to 33
B2040620,27/08/23,KIA,0,30,JEDDAH,756.5,28 to 33
C2040736,23/03/23,TOYOTA,3,23,JEDDAH,828,23 to 27 
R2041218,12/04/23,KIA,0,41,JEDDAH,752,34 to 44
D2041263,02/02/23,BMW,0,23,JEDDAH,1171,23 to 27 
F2041480,28/05/23,KIA,0,58,JEDDAH,1137.5,45 to 59
H2041918,02/07/23,KIA,0,31,JEDDAH,808.5,28 to 33
B2042113,12/12/23,BMW,10,22,RYIADH,778.5,18 to 22
C2042261,03/12/23,NISSAN,0,44,JEDDAH,794,34 to 44
R2042376,24/09/23,HYUNDAI,0,38,JEDDAH,793.5,34 to 44
D2042564,05/02/23,TOYOTA,4,58,JEDDAH,775.5,45 to 59
F2042732,16/01/23,TOYOTA,2,26,DAMMAM,730,23 to 27 
H2051810,29/05/23,KIA,22,57,RYIADH,1173.5,45 to 59
B2051939,01/10/23,KIA,12,57,RYIADH,1176,45 to 59
C2053104,22/10/23,NISSAN,6,39,RYIADH,774.5,34 to 44
R2053475,20/04/23,HYUNDAI,6,41,RYIADH,800,34 to 44
D2053644,12/02/23,HYUNDAI,9,43,RYIADH,1170.5,34 to 44
F2053645,26/10/23,BMW,15,54,RYIADH,1166.5,45 to 59
H2054437,26/11/23,BMW,4,55,RYIADH,1000,45 to 59
B2054553,18/03/23,BMW,1,55,RYIADH,50000,45 to 59
C2054554,23/09/23,BMW,1,55,RYIADH,1077,45 to 59
R2054555,19/04/23,BMW,1,55,RYIADH,1129,45 to 59
D2055865,29/05/23,TOYOTA,4,42,RYIADH,1000,34 to 44
F2055866,09/12/23,TOYOTA,4,42,RYIADH,33839,34 to 44
H2056191,11/10/23,NISSAN,2,25,RYIADH,1064,23 to 27 
B2056192,24/11/23,NISSAN,2,25,RYIADH,1016,23 to 27 
C2061532,07/09/23,KIA,12,54,RYIADH,1000,45 to 59
R2061534,13/11/23,KIA,6,36,JEDDAH,26431,34 to 44
D2062360,19/05/23,HYUNDAI,5,29,RYIADH,40000,28 to 33
F2063639,08/09/23,NISSAN,5,30,DAMMAM,3756,28 to 33
H2064085,29/08/23,TOYOTA,10,34,RYIADH,3308,34 to 44
B2064086,06/01/23,TOYOTA,10,34,RYIADH,2646,34 to 44
C2064089,02/04/23,TOYOTA,7,34,RYIADH,3034,34 to 44
R2068436,27/07/23,HYUNDAI,4,34,RYIADH,1336,34 to 44
D2068546,18/09/23,TOYOTA,17,32,RYIADH,2252,28 to 33
F2068711,14/07/23,NISSAN,12,29,RYIADH,1018,28 to 33
H2068754,21/05/23,NISSAN,8,29,RYIADH,3205,28 to 33
B2068755,07/03/23,NISSAN,8,29,RYIADH,3137,28 to 33
C2069719,09/04/23,KIA,6,40,RYIADH,3922,34 to 44
R2070401,29/03/23,BMW,3,28,RYIADH,1539,28 to 33
D2070655,18/06/23,BMW,1,29,RYIADH,1689,28 to 33
F2070658,20/08/23,BMW,1,29,RYIADH,1714,28 to 33
H2071088,04/02/23,KIA,5,29,RYIADH,1020,28 to 33
B2071504,19/07/23,HYUNDAI,3,58,DAMMAM,4291,45 to 59
C2071630,14/03/23,BMW,5,28,RYIADH,2892,28 to 33
R2073794,12/11/23,HYUNDAI,6,34,DAMMAM,3661,34 to 44
D2073795,03/09/23,HYUNDAI,6,34,DAMMAM,2897,34 to 44
F2073842,01/01/23,HYUNDAI,5,32,DAMMAM,4048,28 to 33
H2073872,01/08/23,BMW,3,44,DAMMAM,2366,34 to 44
B2073899,17/07/23,BMW,8,44,RYIADH,4479,34 to 44
C2073901,02/12/23,BMW,6,41,DAMMAM,4540,34 to 44
R2073902,10/01/23,BMW,6,41,DAMMAM,2354,34 to 44
D2078513,25/12/23,KIA,1,70,RYIADH,1833,60+ Aged
F2078515,13/12/23,NISSAN,14,52,RYIADH,4772,45 to 59
H2078517,24/02/23,NISSAN,12,36,RYIADH,2467,34 to 44
B2078518,09/10/23,NISSAN,12,36,RYIADH,4804,34 to 44
C2078520,16/06/23,KIA,7,41,RYIADH,3658,34 to 44
R2078521,03/07/23,NISSAN,16,56,RYIADH,3629,45 to 59
D2078523,02/03/23,TOYOTA,8,43,RYIADH,1722,34 to 44
F2078524,13/03/23,NISSAN,1,77,RYIADH,4780,60+ Aged
H2078526,06/01/23,BMW,11,41,RYIADH,2480,34 to 44
B2078527,01/12/23,BMW,12,41,RYIADH,1349,34 to 44
C2078530,16/07/23,TOYOTA,4,69,RYIADH,2555,60+ Aged
R2078532,30/12/23,NISSAN,15,75,RYIADH,2368,60+ Aged
D2078536,08/05/23,NISSAN,15,53,DAMMAM,1625,45 to 59
F2078538,13/11/23,TOYOTA,4,44,DAMMAM,2322,34 to 44
H2078540,06/02/23,TOYOTA,14,67,RYIADH,1907,60+ Aged
B2078542,30/05/23,HYUNDAI,4,37,RYIADH,4857,34 to 44
C2078545,27/06/23,BMW,6,37,RYIADH,3289,34 to 44
R2078547,13/01/23,HYUNDAI,8,52,RYIADH,2450,45 to 59
D2078551,26/09/23,HYUNDAI,5,59,RYIADH,1367,45 to 59
F2078552,01/05/23,NISSAN,2,25,RYIADH,4031,23 to 27 
H2078553,19/02/23,NISSAN,9,66,RYIADH,2285,60+ Aged
B2078554,08/11/23,NISSAN,9,66,RYIADH,1075,60+ Aged
C2078556,02/01/23,NISSAN,13,59,RYIADH,3703,45 to 59
R2078558,11/08/23,KIA,6,53,RYIADH,4103,45 to 59
D2078560,21/04/23,KIA,18,56,DAMMAM,1970,45 to 59
F2078561,09/03/23,TOYOTA,8,55,RYIADH,2160,45 to 59
H2078562,19/10/23,HYUNDAI,6,29,RYIADH,4414,28 to 33
B2078564,18/07/23,KIA,1,75,RYIADH,3448,60+ Aged
C2078566,11/11/23,NISSAN,11,35,RYIADH,2089,34 to 44
R2078568,02/07/23,NISSAN,11,37,RYIADH,1758,34 to 44
D2078569,03/06/23,NISSAN,11,37,RYIADH,3179,34 to 44
F2078570,05/08/23,BMW,9,50,DAMMAM,1093,45 to 59
H2078574,13/01/23,HYUNDAI,5,59,RYIADH,2056,45 to 59
B2078575,15/07/23,TOYOTA,4,26,RYIADH,2237,23 to 27 
C2078576,17/07/23,TOYOTA,4,26,RYIADH,3450,23 to 27 
R2078577,31/03/23,NISSAN,14,43,RYIADH,2961,34 to 44
D2078579,04/06/23,NISSAN,9,42,RYIADH,2503,34 to 44
F2078581,23/03/23,NISSAN,12,51,RYIADH,3531,45 to 59
H2078583,04/02/23,NISSAN,8,51,RYIADH,2922,45 to 59
B2078589,26/09/23,KIA,10,29,RYIADH,1222,28 to 33
C2078592,24/02/23,NISSAN,6,39,RYIADH,2823,34 to 44
R2078594,16/08/23,HYUNDAI,1,42,RYIADH,1315,34 to 44
D2078596,03/05/23,NISSAN,7,52,RYIADH,1300,45 to 59
F2078598,22/06/23,NISSAN,2,47,RYIADH,1315,45 to 59
H2078600,08/02/23,NISSAN,17,47,RYIADH,1300,45 to 59
B2078602,11/09/23,NISSAN,5,45,RYIADH,1353,45 to 59
C2078604,07/03/23,BMW,20,45,RYIADH,2165,45 to 59
R2078606,13/08/23,BMW,15,33,RYIADH,2273,28 to 33
D2078609,09/12/23,HYUNDAI,4,39,RYIADH,4390,34 to 44
F2078611,18/07/23,HYUNDAI,13,54,RYIADH,3938,45 to 59
H2078612,23/05/23,HYUNDAI,4,35,RYIADH,2008,34 to 44
B2078614,19/07/23,NISSAN,7,80,RYIADH,4545,60+ Aged
C2078616,16/11/23,NISSAN,10,78,RYIADH,1009,60+ Aged
R2078619,13/03/23,NISSAN,4,47,RYIADH,4114,45 to 59
D2078621,28/03/23,NISSAN,13,43,RYIADH,4414,34 to 44
F2078623,24/04/23,NISSAN,13,75,RYIADH,1197,60+ Aged
H2078627,04/10/23,NISSAN,2,49,RYIADH,1443,45 to 59
B2078628,15/05/23,BMW,4,47,JEDDAH,3297,45 to 59
C2078629,04/02/23,KIA,12,56,RYIADH,4346,45 to 59
R2078630,05/11/23,HYUNDAI,8,62,RYIADH,4659,60+ Aged
D2078632,10/04/23,NISSAN,1,47,RYIADH,2628,45 to 59
F2078634,22/09/23,NISSAN,5,33,RYIADH,1423,28 to 33
H2078636,09/11/23,HYUNDAI,6,29,RYIADH,4045,28 to 33
B2078639,13/01/23,NISSAN,11,33,JEDDAH,2575,28 to 33
C2078640,14/05/23,NISSAN,11,33,JEDDAH,2192,28 to 33
R2078641,17/03/23,KIA,9,48,RYIADH,3446,45 to 59
D2078642,06/07/23,BMW,7,47,RYIADH,4123,45 to 59
F2078643,09/12/23,BMW,7,47,RYIADH,4853,45 to 59
H2078644,26/12/23,NISSAN,15,28,RYIADH,1121,28 to 33
B2078645,04/12/23,NISSAN,10,27,RYIADH,4517,23 to 27 
C2078647,08/03/23,TOYOTA,8,34,RYIADH,4902,34 to 44
R2078649,17/11/23,BMW,6,56,RYIADH,4970,45 to 59
D2078652,11/10/23,BMW,4,32,RYIADH,3160,28 to 33
F2078658,28/11/23,NISSAN,3,37,RYIADH,2734,34 to 44
H2078662,27/06/23,KIA,8,24,RYIADH,2636,23 to 27 
B2078665,23/09/23,NISSAN,6,47,RYIADH,4946,45 to 59
C2078668,07/08/23,NISSAN,6,22,RYIADH,2133,18 to 22
R2078670,08/06/23,HYUNDAI,21,44,RYIADH,2689,34 to 44
D2078671,27/07/23,HYUNDAI,21,44,RYIADH,1522,34 to 44
F2078673,17/05/23,KIA,17,22,RYIADH,4999,18 to 22
H2078674,09/02/23,KIA,17,22,RYIADH,4700,18 to 22
B2078675,03/08/23,HYUNDAI,1,22,RYIADH,2056,18 to 22
C2078676,01/01/23,HYUNDAI,1,22,RYIADH,2879,18 to 22
R2078678,16/04/23,BMW,12,33,RYIADH,3737,28 to 33
D2079096,25/07/23,HYUNDAI,4,24,RYIADH,2430,23 to 27 
F2079615,22/05/23,TOYOTA,10,36,RYIADH,2330,34 to 44
H2080550,19/09/23,BMW,15,65,RYIADH,4121,60+ Aged
B2080551,28/08/23,BMW,15,65,RYIADH,3983,60+ Aged
C2081889,04/06/23,BMW,13,39,RYIADH,4251,34 to 44
R2081984,13/07/23,BMW,3,33,JEDDAH,1666,28 to 33
D2081985,21/07/23,BMW,3,33,JEDDAH,1945,28 to 33
F2082062,02/05/23,BMW,9,33,DAMMAM,2220,28 to 33
H2082128,03/08/23,TOYOTA,10,62,RYIADH,2081,60+ Aged
B2082714,23/12/23,BMW,6,71,RYIADH,4373,60+ Aged
C2083006,23/11/23,HYUNDAI,4,31,DAMMAM,1147,28 to 33
R2083007,17/10/23,HYUNDAI,4,31,DAMMAM,1391,28 to 33
D2083945,11/08/23,TOYOTA,2,50,RYIADH,3090,45 to 59
F2083976,16/07/23,KIA,3,51,RYIADH,1474,45 to 59
H2084022,06/10/23,HYUNDAI,13,36,RYIADH,1673,34 to 44
B2084126,27/02/23,HYUNDAI,1,36,RYIADH,2226,34 to 44
C2085856,30/10/23,KIA,11,33,DAMMAM,1485,28 to 33
R2087185,05/11/23,HYUNDAI,6,84,RYIADH,3705,60+ Aged
D2089561,17/11/23,HYUNDAI,19,39,RYIADH,4094,34 to 44
